v100	32510MiB	vgg19	64			0.003	0.981	20018	64.058	19629.881	
v100	32510MiB	vgg19_bn	64			0.003	1.034	20018	64.058	20690.847	
v100	32510MiB	wide_resnet101_2	64			0.003	1.522	20018	64.058	30461.747	
v100	32510MiB	wide_resnet50_2	64			0.003	0.791	20018	64.058	15832.422	
K80	11441MiB 	alexnet	256			0.013	1.269	5005	63.558	6348.283
K80	11441MiB 	densenet121	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	densenet161	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	densenet169	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	densenet201	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	googlenet	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	inception_v3	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	mnasnet0_5	256			0.013	2.236	5005	62.557	11187.691
K80	11441MiB 	mnasnet0_75	256			0.013	2.933	5005	62.557	14678.871
K80	11441MiB 	mnasnet1_3	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	mobilenet_v2	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	mobilenet_v3_large	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	mobilenet_v3_small	256			0.013	1.464	5005	63.057	7328.175
K80	11441MiB 	resnet101	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	resnet152	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	resnet18	256			0.013	4.561	5005	63.057	22825.792
K80	11441MiB 	resnet34	256			0.013	8.569	5005	63.057	42884.063
K80	11441MiB 	resnet50	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	resnext101_32x8d	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	resnext50_32x4d	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	shufflenet_v2_x0_5	256			0.013	1.298	5005	66.060	6495.917
K80	11441MiB 	shufflenet_v2_x1_0	256			0.013	1.806	5005	63.057	9037.232
K80	11441MiB 	shufflenet_v2_x1_5	256			0.013	2.198	5005	63.057	10998.018
K80	11441MiB 	shufflenet_v2_x2_0	256			0.013	2.968	5005	63.057	14853.530
K80	11441MiB 	squeezenet1_0	256			0.013	2.995	5005	63.063	14989.975
K80	11441MiB 	squeezenet1_1	256			0.014	1.872	5005	67.562	9366.532
K80	11441MiB 	vgg11	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg11_bn	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg13	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg13_bn	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg16	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg16_bn	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg19	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	vgg19_bn	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	wide_resnet101_2	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	wide_resnet50_2	256			N/A	N/A	5005	#VALUE!	#VALUE!
K80	11441MiB 	alexnet	128			0.007	0.659	10009	65.059	6599.011
K80	11441MiB 	densenet121	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	densenet161	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	densenet169	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	densenet201	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	googlenet	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	inception_v3	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	mnasnet0_5	128			0.006	1.122	10009	63.057	11232.231
K80	11441MiB 	mnasnet0_75	128			0.006	1.470	10009	63.057	14709.399
K80	11441MiB 	mnasnet1_3	128			0.006	2.114	10009	63.057	21154.269
K80	11441MiB 	mobilenet_v2	128			0.006	1.615	10009	64.058	16159.720
K80	11441MiB 	mobilenet_v3_large	128			0.006	1.455	10009	63.057	14563.266
K80	11441MiB 	mobilenet_v3_small	128			0.006	0.736	10009	63.057	7366.710
K80	11441MiB 	resnet101	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	resnet152	128			N/A	N/A	10009	#VALUE!	#VALUE!
K80	11441MiB 	resnet18	128			0.006	2.291	10009	63.057	22930.887
K80	11441MiB 	resnet34	128			0.006	4.289	10009	63.057	42928.103
K80	11441MiB 	resnet50	128			0.006	5.124	10009	63.057	51282.713
